2026-01-31 15:36:56,075 | triagem_sistema | INFO | {"operacao": "inicializar_gerenciador", "timestamp": "2026-01-31T15:36:56.075367", "detalhes": {"fila_inicial": 0}}
2026-01-31 15:36:56,075 | triagem_sistema | INFO | {"operacao": "criar_paciente", "timestamp": "2026-01-31T15:36:56.075468", "detalhes": {"nome": "Maria Silva", "idade": 45, "urgencia": 3, "timestamp": "2026-01-31T15:36:56.075463"}}
2026-01-31 15:36:56,075 | triagem_sistema | INFO | {"operacao": "criar_paciente", "timestamp": "2026-01-31T15:36:56.075507", "detalhes": {"nome": "Jo\u00e3o Santos", "idade": 30, "urgencia": 5, "timestamp": "2026-01-31T15:36:56.075504"}}
2026-01-31 15:36:56,075 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:36:56.075610", "detalhes": {"paciente": "Maria Silva", "urgencia": 3, "tamanho_fila": 1}}
2026-01-31 15:36:56,075 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:36:56.075682", "detalhes": {"tempo_execucao": 9.703636169433594e-05, "sucesso": true}}
2026-01-31 15:36:56,176 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:36:56.176474", "detalhes": {"paciente": "Jo\u00e3o Santos", "urgencia": 5, "tamanho_fila": 2}}
2026-01-31 15:36:56,176 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:36:56.176786", "detalhes": {"tempo_execucao": 0.0006444454193115234, "sucesso": true}}
2026-01-31 15:36:56,377 | triagem_sistema | INFO | {"operacao": "criar_paciente", "timestamp": "2026-01-31T15:36:56.377428", "detalhes": {"nome": "Carlos Lima", "idade": 40, "urgencia": 3, "timestamp": "2026-01-31T15:36:56.377368"}}
2026-01-31 15:36:56,378 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:36:56.378092", "detalhes": {"paciente": "Carlos Lima", "urgencia": 3, "tamanho_fila": 3}}
2026-01-31 15:36:56,378 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:36:56.378483", "detalhes": {"tempo_execucao": 0.00047779083251953125, "sucesso": true}}
2026-01-31 15:36:56,379 | triagem_sistema | INFO | {"operacao": "ordenar_por_prioridade", "timestamp": "2026-01-31T15:36:56.379121", "detalhes": {"tempo_execucao": 4.172325134277344e-05, "sucesso": true}}
2026-01-31 15:36:56,379 | triagem_sistema | INFO | {"operacao": "obter_fila_ordenada", "timestamp": "2026-01-31T15:36:56.379608", "detalhes": {"tempo_execucao": 0.0005991458892822266, "sucesso": true}}
2026-01-31 15:36:56,379 | triagem_sistema | INFO | {"operacao": "ordenar_por_prioridade", "timestamp": "2026-01-31T15:36:56.379954", "detalhes": {"tempo_execucao": 5.7220458984375e-06, "sucesso": true}}
2026-01-31 15:36:56,380 | triagem_sistema | INFO | {"operacao": "obter_fila_ordenada", "timestamp": "2026-01-31T15:36:56.380619", "detalhes": {"tempo_execucao": 0.000461578369140625, "sucesso": true}}
2026-01-31 15:36:56,380 | triagem_sistema | INFO | {"operacao": "atender_paciente", "timestamp": "2026-01-31T15:36:56.380879", "detalhes": {"paciente": "Jo\u00e3o Santos", "urgencia": 5, "tempo_espera_segundos": 0.305213, "fila_restante": 2}}
2026-01-31 15:36:56,381 | triagem_sistema | INFO | {"operacao": "atender_proximo", "timestamp": "2026-01-31T15:36:56.381042", "detalhes": {"tempo_execucao": 0.001178741455078125, "sucesso": true}}
2026-01-31 15:36:56,381 | triagem_sistema | INFO | {"operacao": "ordenar_por_prioridade", "timestamp": "2026-01-31T15:36:56.381234", "detalhes": {"tempo_execucao": 6.198883056640625e-06, "sucesso": true}}
2026-01-31 15:36:56,381 | triagem_sistema | INFO | {"operacao": "obter_fila_ordenada", "timestamp": "2026-01-31T15:36:56.381492", "detalhes": {"tempo_execucao": 0.000293731689453125, "sucesso": true}}
2026-01-31 15:38:56,993 | triagem_sistema | INFO | {"operacao": "inicializar_gerenciador", "timestamp": "2026-01-31T15:38:56.993326", "detalhes": {"fila_inicial": 0}}
2026-01-31 15:38:56,993 | triagem_sistema | INFO | {"operacao": "criar_paciente", "timestamp": "2026-01-31T15:38:56.993457", "detalhes": {"nome": "Maria Silva", "idade": 45, "urgencia": 3, "timestamp": "2026-01-31T15:38:56.993448"}}
2026-01-31 15:38:56,993 | triagem_sistema | INFO | {"operacao": "criar_paciente", "timestamp": "2026-01-31T15:38:56.993505", "detalhes": {"nome": "Jo\u00e3o Santos", "idade": 30, "urgencia": 5, "timestamp": "2026-01-31T15:38:56.993502"}}
2026-01-31 15:38:56,993 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:38:56.993610", "detalhes": {"paciente": "Maria Silva", "urgencia": 3, "tamanho_fila": 1}}
2026-01-31 15:38:56,993 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:38:56.993682", "detalhes": {"tempo_execucao": 0.00010251998901367188, "sucesso": true}}
2026-01-31 15:38:57,094 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:38:57.094590", "detalhes": {"paciente": "Jo\u00e3o Santos", "urgencia": 5, "tamanho_fila": 2}}
2026-01-31 15:38:57,094 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:38:57.094893", "detalhes": {"tempo_execucao": 0.0006897449493408203, "sucesso": true}}
2026-01-31 15:38:57,295 | triagem_sistema | INFO | {"operacao": "criar_paciente", "timestamp": "2026-01-31T15:38:57.295580", "detalhes": {"nome": "Carlos Lima", "idade": 40, "urgencia": 3, "timestamp": "2026-01-31T15:38:57.295511"}}
2026-01-31 15:38:57,296 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:38:57.296337", "detalhes": {"paciente": "Carlos Lima", "urgencia": 3, "tamanho_fila": 3}}
2026-01-31 15:38:57,296 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:38:57.296645", "detalhes": {"tempo_execucao": 0.00046753883361816406, "sucesso": true}}
2026-01-31 15:38:57,297 | triagem_sistema | INFO | {"operacao": "ordenar_por_prioridade", "timestamp": "2026-01-31T15:38:57.297303", "detalhes": {"tempo_execucao": 5.173683166503906e-05, "sucesso": true}}
2026-01-31 15:38:57,297 | triagem_sistema | INFO | {"operacao": "obter_fila_ordenada", "timestamp": "2026-01-31T15:38:57.297705", "detalhes": {"tempo_execucao": 0.0005660057067871094, "sucesso": true}}
2026-01-31 15:38:57,298 | triagem_sistema | INFO | {"operacao": "ordenar_por_prioridade", "timestamp": "2026-01-31T15:38:57.298060", "detalhes": {"tempo_execucao": 5.9604644775390625e-06, "sucesso": true}}
2026-01-31 15:38:57,298 | triagem_sistema | INFO | {"operacao": "obter_fila_ordenada", "timestamp": "2026-01-31T15:38:57.298411", "detalhes": {"tempo_execucao": 0.00039124488830566406, "sucesso": true}}
2026-01-31 15:38:57,298 | triagem_sistema | INFO | {"operacao": "atender_paciente", "timestamp": "2026-01-31T15:38:57.298633", "detalhes": {"paciente": "Jo\u00e3o Santos", "urgencia": 5, "tempo_espera_segundos": 0.304985, "fila_restante": 2}}
2026-01-31 15:38:57,298 | triagem_sistema | INFO | {"operacao": "atender_proximo", "timestamp": "2026-01-31T15:38:57.298817", "detalhes": {"tempo_execucao": 0.0008111000061035156, "sucesso": true}}
2026-01-31 15:38:57,299 | triagem_sistema | INFO | {"operacao": "ordenar_por_prioridade", "timestamp": "2026-01-31T15:38:57.299047", "detalhes": {"tempo_execucao": 4.5299530029296875e-06, "sucesso": true}}
2026-01-31 15:38:57,299 | triagem_sistema | INFO | {"operacao": "obter_fila_ordenada", "timestamp": "2026-01-31T15:38:57.299400", "detalhes": {"tempo_execucao": 0.00037598609924316406, "sucesso": true}}
2026-01-31 15:46:34,766 | triagem_sistema | INFO | {"operacao": "inicializar_gerenciador", "timestamp": "2026-01-31T15:46:34.766144", "detalhes": {"fila_inicial": 0}}
2026-01-31 15:46:34,766 | triagem_sistema | INFO | {"operacao": "criar_paciente", "timestamp": "2026-01-31T15:46:34.766263", "detalhes": {"nome": "Maria Silva", "idade": 45, "urgencia": 3, "timestamp": "2026-01-31T15:46:34.766256"}}
2026-01-31 15:46:34,766 | triagem_sistema | INFO | {"operacao": "criar_paciente", "timestamp": "2026-01-31T15:46:34.766299", "detalhes": {"nome": "Jo\u00e3o Santos", "idade": 30, "urgencia": 5, "timestamp": "2026-01-31T15:46:34.766296"}}
2026-01-31 15:46:34,766 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:46:34.766404", "detalhes": {"paciente": "Maria Silva", "urgencia": 3, "tamanho_fila": 1}}
2026-01-31 15:46:34,766 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:46:34.766480", "detalhes": {"tempo_execucao": 0.00010824203491210938, "sucesso": true}}
2026-01-31 15:46:34,867 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:46:34.867323", "detalhes": {"paciente": "Jo\u00e3o Santos", "urgencia": 5, "tamanho_fila": 2}}
2026-01-31 15:46:34,867 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:46:34.867640", "detalhes": {"tempo_execucao": 0.0007581710815429688, "sucesso": true}}
2026-01-31 15:46:35,068 | triagem_sistema | INFO | {"operacao": "criar_paciente", "timestamp": "2026-01-31T15:46:35.068259", "detalhes": {"nome": "Carlos Lima", "idade": 40, "urgencia": 3, "timestamp": "2026-01-31T15:46:35.068192"}}
2026-01-31 15:46:35,068 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:46:35.068873", "detalhes": {"paciente": "Carlos Lima", "urgencia": 3, "tamanho_fila": 3}}
2026-01-31 15:46:35,069 | triagem_sistema | INFO | {"operacao": "adicionar_paciente", "timestamp": "2026-01-31T15:46:35.069131", "detalhes": {"tempo_execucao": 0.00035381317138671875, "sucesso": true}}
2026-01-31 15:46:35,069 | triagem_sistema | INFO | {"operacao": "ordenar_por_prioridade", "timestamp": "2026-01-31T15:46:35.069667", "detalhes": {"tempo_execucao": 3.147125244140625e-05, "sucesso": true}}
2026-01-31 15:46:35,070 | triagem_sistema | INFO | {"operacao": "obter_fila_ordenada", "timestamp": "2026-01-31T15:46:35.070009", "detalhes": {"tempo_execucao": 0.0004277229309082031, "sucesso": true}}
2026-01-31 15:46:35,070 | triagem_sistema | INFO | {"operacao": "ordenar_por_prioridade", "timestamp": "2026-01-31T15:46:35.070334", "detalhes": {"tempo_execucao": 5.0067901611328125e-06, "sucesso": true}}
2026-01-31 15:46:35,070 | triagem_sistema | INFO | {"operacao": "obter_fila_ordenada", "timestamp": "2026-01-31T15:46:35.070621", "detalhes": {"tempo_execucao": 0.0003199577331542969, "sucesso": true}}
2026-01-31 15:46:35,070 | triagem_sistema | INFO | {"operacao": "atender_paciente", "timestamp": "2026-01-31T15:46:35.070824", "detalhes": {"paciente": "Jo\u00e3o Santos", "urgencia": 5, "tempo_espera_segundos": 0.304391, "fila_restante": 2}}
